Episode 1006 | Reward: 448.87
Episode 1007 | Reward: 445.15
Episode 1008 | Reward: 450.44
Episode 1009 | Reward: 409.18
Episode 1010 | Reward: 448.23
Episode 1011 | Reward: 425.31
Episode 1012 | Reward: 312.85
Episode 1013 | Reward: 442.91
Episode 1014 | Reward: 401.60
Episode 1015 | Reward: 434.93
Episode 1016 | Reward: 432.38
Episode 1017 | Reward: 394.19
Episode 1018 | Reward: 425.13
Episode 1019 | Reward: 434.40
Episode 1020 | Reward: 441.23
Episode 1021 | Reward: 469.99
Episode 1022 | Reward: 455.35
Episode 1023 | Reward: 440.79
Episode 1024 | Reward: 439.18
Episode 1025 | Reward: 453.63
Episode 1026 | Reward: 431.29
Episode 1027 | Reward: 447.88
Episode 1028 | Reward: 444.80
Episode 1029 | Reward: 444.95
Episode 1030 | Reward: 442.24
Episode 1031 | Reward: 369.45
Episode 1032 | Reward: 461.05
Episode 1033 | Reward: 426.73
Episode 1034 | Reward: 369.80
Episode 1035 | Reward: 452.98
Episode 1036 | Reward: 460.67
Episode 1037 | Reward: 385.44
Episode 1038 | Reward: 439.56
Episode 1039 | Reward: 420.28
Episode 1040 | Reward: 475.62
Episode 1041 | Reward: 412.99
Episode 1042 | Reward: 459.44
Episode 1043 | Reward: 445.79
Episode 1044 | Reward: 442.62
Episode 1045 | Reward: 423.99
Episode 1046 | Reward: 208.32
Episode 1047 | Reward: 463.46
Episode 1048 | Reward: 324.28
Episode 1049 | Reward: 460.26
Episode 1050 | Reward: 472.94
Model saved at episode 1050.
Episode 1051 | Reward: 365.57
Episode 1052 | Reward: 434.02
Episode 1053 | Reward: 416.56
Episode 1054 | Reward: 471.47
Episode 1055 | Reward: 439.28
Episode 1056 | Reward: 453.47
Episode 1057 | Reward: 479.30
Episode 1058 | Reward: 438.40
Episode 1059 | Reward: 325.78
Episode 1060 | Reward: 472.78
Episode 1061 | Reward: 471.06
Episode 1062 | Reward: 427.43
Episode 1063 | Reward: 430.50
Episode 1064 | Reward: 448.57
Episode 1065 | Reward: 471.32
Episode 1066 | Reward: 487.53
Episode 1067 | Reward: 478.94
Episode 1068 | Reward: 464.86
Episode 1069 | Reward: 459.17
Episode 1070 | Reward: 466.51
Episode 1071 | Reward: 477.81
Episode 1072 | Reward: 444.86
Episode 1073 | Reward: 474.99
Episode 1074 | Reward: 468.74
Episode 1075 | Reward: 452.46
Episode 1076 | Reward: 324.87
Episode 1077 | Reward: 464.71
Episode 1078 | Reward: 465.88
Episode 1079 | Reward: 421.56
Episode 1080 | Reward: 462.29
Episode 1081 | Reward: 445.43
Episode 1082 | Reward: 439.28
Episode 1083 | Reward: 440.47
Episode 1084 | Reward: 441.13
Episode 1085 | Reward: 452.63
Episode 1086 | Reward: 444.95
Episode 1087 | Reward: 281.36
Episode 1088 | Reward: 467.77
Episode 1089 | Reward: 434.91
Episode 1090 | Reward: 384.84
Episode 1091 | Reward: 483.05
Episode 1092 | Reward: 423.97
Episode 1093 | Reward: 478.59
Episode 1094 | Reward: 481.26
Episode 1095 | Reward: 407.47
Episode 1096 | Reward: 440.61
Episode 1097 | Reward: 442.78
Episode 1098 | Reward: 424.44
Episode 1099 | Reward: 401.00
Episode 1100 | Reward: 418.73
Model saved at episode 1100.
Episode 1101 | Reward: 474.82
Episode 1102 | Reward: 462.63
Episode 1103 | Reward: 482.35
Episode 1104 | Reward: 432.37
Episode 1105 | Reward: 393.79
Episode 1106 | Reward: 456.68
Episode 1107 | Reward: 491.29
Episode 1108 | Reward: 394.85
Episode 1109 | Reward: 449.73
Episode 1110 | Reward: 472.76
Episode 1111 | Reward: 491.00
Episode 1112 | Reward: 436.47
Episode 1113 | Reward: 383.56
Episode 1114 | Reward: 475.89
Episode 1115 | Reward: 321.19
Episode 1116 | Reward: 480.01
Episode 1117 | Reward: 432.16
Episode 1118 | Reward: 478.87
Episode 1119 | Reward: 330.88
Episode 1120 | Reward: 488.13
Episode 1121 | Reward: 488.09
Episode 1122 | Reward: 486.64
Episode 1123 | Reward: 473.03
Episode 1124 | Reward: 467.96
Episode 1125 | Reward: 487.08
Episode 1126 | Reward: 376.28
Episode 1127 | Reward: 470.27
Episode 1128 | Reward: 458.90
Episode 1129 | Reward: 502.90
Episode 1130 | Reward: 489.97
Episode 1131 | Reward: 487.81
Episode 1132 | Reward: 339.95
Episode 1133 | Reward: 506.75
Episode 1134 | Reward: 463.33
Episode 1135 | Reward: 491.38
Episode 1136 | Reward: 417.69
Episode 1137 | Reward: 348.91
Episode 1138 | Reward: 470.78
Episode 1139 | Reward: 406.18
Episode 1140 | Reward: 479.52
Episode 1141 | Reward: 500.37
Episode 1142 | Reward: 462.03
Episode 1143 | Reward: 486.77
Episode 1144 | Reward: 348.78
Episode 1145 | Reward: 482.81
Episode 1146 | Reward: 490.01
Episode 1147 | Reward: 479.52
Episode 1148 | Reward: 472.56
Episode 1149 | Reward: 341.97
Episode 1150 | Reward: 352.02
Model saved at episode 1150.
Episode 1151 | Reward: 458.86
Episode 1152 | Reward: 318.32
Episode 1153 | Reward: 474.92
Episode 1154 | Reward: 470.76
Episode 1155 | Reward: 462.70
Episode 1156 | Reward: 471.52
Episode 1157 | Reward: 487.08
Episode 1158 | Reward: 485.63
Episode 1159 | Reward: 484.87
Episode 1160 | Reward: 479.94
Episode 1161 | Reward: 477.01
Episode 1162 | Reward: 456.42
Episode 1163 | Reward: 491.52
Episode 1164 | Reward: 471.40
Episode 1165 | Reward: 479.10
Episode 1166 | Reward: 457.20
Episode 1167 | Reward: 471.83
Episode 1168 | Reward: 475.23
Episode 1169 | Reward: 286.62
Episode 1170 | Reward: 447.24
Episode 1171 | Reward: 467.61
Episode 1172 | Reward: 472.52
Episode 1173 | Reward: 454.99
Episode 1174 | Reward: 468.68
Episode 1175 | Reward: 492.62
Episode 1176 | Reward: 343.28
Episode 1177 | Reward: 317.97
Episode 1178 | Reward: 337.64
Episode 1179 | Reward: 496.64
Episode 1180 | Reward: 469.32
Episode 1181 | Reward: 478.77
Episode 1182 | Reward: 472.86
Episode 1183 | Reward: 475.77
Episode 1184 | Reward: 468.97
Episode 1185 | Reward: 477.47
Episode 1186 | Reward: 454.73
Episode 1187 | Reward: 141.11
Episode 1188 | Reward: 478.51
Episode 1189 | Reward: 482.93
Episode 1190 | Reward: 345.21
Episode 1191 | Reward: 492.18
Episode 1192 | Reward: 480.67
Episode 1193 | Reward: 348.87
Episode 1194 | Reward: 437.96
Episode 1195 | Reward: 476.77
Episode 1196 | Reward: 472.51
Episode 1197 | Reward: 486.24
Episode 1198 | Reward: 485.24
Episode 1199 | Reward: 483.75
Episode 1200 | Reward: 475.76
Model saved at episode 1200.
Episode 1201 | Reward: 395.27
Episode 1202 | Reward: 352.95
Episode 1203 | Reward: 424.51
Episode 1204 | Reward: 453.07
Episode 1205 | Reward: 427.82
Episode 1206 | Reward: 497.97
Episode 1207 | Reward: 487.85
Episode 1208 | Reward: 495.63
Episode 1209 | Reward: 483.53
Episode 1210 | Reward: 269.77
Episode 1211 | Reward: 343.69
Episode 1212 | Reward: 480.36
Episode 1213 | Reward: 482.00
Episode 1214 | Reward: 445.51
Episode 1215 | Reward: 493.24
Episode 1216 | Reward: 488.78
Episode 1217 | Reward: 406.67
Episode 1218 | Reward: 480.26
Episode 1219 | Reward: 478.86
Episode 1220 | Reward: 455.93
Episode 1221 | Reward: 482.49
Episode 1222 | Reward: 479.13
Episode 1223 | Reward: 476.87
Episode 1224 | Reward: 421.02
Episode 1225 | Reward: 469.73
Episode 1226 | Reward: 491.18
Episode 1227 | Reward: 455.86
Episode 1228 | Reward: 488.05
Episode 1229 | Reward: 488.93
Episode 1230 | Reward: 468.36
Episode 1231 | Reward: 197.73
Episode 1232 | Reward: 501.09
Episode 1233 | Reward: 490.16
Episode 1234 | Reward: 512.33
Episode 1235 | Reward: 501.00
Episode 1236 | Reward: 497.28
Episode 1237 | Reward: 504.80
Episode 1238 | Reward: 496.77
Episode 1239 | Reward: 353.22
Episode 1240 | Reward: 481.07
Episode 1241 | Reward: 470.09
Episode 1242 | Reward: 510.32
Episode 1243 | Reward: 488.56
Episode 1244 | Reward: 350.79
Episode 1245 | Reward: 476.34
Episode 1246 | Reward: 360.82
Episode 1247 | Reward: 339.69
Episode 1248 | Reward: 437.81
Episode 1249 | Reward: 479.63
Episode 1250 | Reward: 467.61
Model saved at episode 1250.
Episode 1251 | Reward: 495.74
Episode 1252 | Reward: 483.88
Episode 1253 | Reward: 459.02
Episode 1254 | Reward: 489.27
Episode 1255 | Reward: 489.05
Episode 1256 | Reward: 355.36
Episode 1257 | Reward: 485.70
Episode 1258 | Reward: 482.81
Episode 1259 | Reward: 474.66
Episode 1260 | Reward: 493.22
Episode 1261 | Reward: 499.01
Episode 1262 | Reward: 342.76
Episode 1263 | Reward: 482.75
Episode 1264 | Reward: 486.17
Episode 1265 | Reward: 477.07
Episode 1266 | Reward: 489.27
Episode 1267 | Reward: 463.89
Episode 1268 | Reward: 480.63
Episode 1269 | Reward: 486.44
Episode 1270 | Reward: 469.80
Episode 1271 | Reward: 477.75
Episode 1272 | Reward: 481.86
Episode 1273 | Reward: 481.90
Episode 1274 | Reward: 493.02
Episode 1275 | Reward: 469.62
Episode 1276 | Reward: 314.59
Episode 1277 | Reward: 467.53
Episode 1278 | Reward: 466.41
Episode 1279 | Reward: 479.50
Episode 1280 | Reward: 482.52
Episode 1281 | Reward: 471.34
Episode 1282 | Reward: 453.44
Episode 1283 | Reward: 473.92
Episode 1284 | Reward: 483.24
Episode 1285 | Reward: 485.63
Episode 1286 | Reward: 476.42
Episode 1287 | Reward: 475.48
Episode 1288 | Reward: 452.22
Episode 1289 | Reward: 482.37
Episode 1290 | Reward: 425.19
Episode 1291 | Reward: 475.06
Episode 1292 | Reward: 486.95
Episode 1293 | Reward: 525.74
Episode 1294 | Reward: 492.60
Episode 1295 | Reward: 216.65
Episode 1296 | Reward: 336.34
Episode 1297 | Reward: 507.52
Episode 1298 | Reward: 505.23
Episode 1299 | Reward: 498.96
Episode 1300 | Reward: 479.94
Model saved at episode 1300.
Episode 1301 | Reward: 452.35
Episode 1302 | Reward: 515.68
Episode 1303 | Reward: 360.17
Episode 1304 | Reward: 501.80
Episode 1305 | Reward: 518.52
Episode 1306 | Reward: 469.34
Episode 1307 | Reward: 475.25
Episode 1308 | Reward: 478.22
Episode 1309 | Reward: 336.82
Episode 1310 | Reward: 487.26
Episode 1311 | Reward: 465.98
Episode 1312 | Reward: 493.63
Episode 1313 | Reward: 475.22
Episode 1314 | Reward: 346.94
Episode 1315 | Reward: 408.36
Episode 1316 | Reward: 484.89
Episode 1317 | Reward: 489.33
Episode 1318 | Reward: 452.98
Episode 1319 | Reward: 472.11
Episode 1320 | Reward: 454.77
Episode 1321 | Reward: 482.80
Episode 1322 | Reward: 463.36
Episode 1323 | Reward: 460.85
Episode 1324 | Reward: 341.70
Episode 1325 | Reward: 468.73
Episode 1326 | Reward: 463.07
Episode 1327 | Reward: 328.52
Episode 1328 | Reward: 447.48
Episode 1329 | Reward: 457.21
Episode 1330 | Reward: 447.01
Episode 1331 | Reward: 471.58
Episode 1332 | Reward: 448.11
Episode 1333 | Reward: 459.11
Episode 1334 | Reward: 337.13
Episode 1335 | Reward: 463.09
Episode 1336 | Reward: 441.88
Episode 1337 | Reward: 456.06
Episode 1338 | Reward: 453.66
Episode 1339 | Reward: 456.12
Episode 1340 | Reward: 457.61
Episode 1341 | Reward: 435.51
Episode 1342 | Reward: 429.77
Episode 1343 | Reward: 461.36
Episode 1344 | Reward: 467.54
Episode 1345 | Reward: 469.48
Episode 1346 | Reward: 450.74
Episode 1347 | Reward: 472.18
Episode 1348 | Reward: 471.96
Episode 1349 | Reward: 484.98
Episode 1350 | Reward: 481.28
Model saved at episode 1350.
Episode 1351 | Reward: 470.54
Episode 1352 | Reward: 480.20
Episode 1353 | Reward: 490.11
Episode 1354 | Reward: 476.27
Episode 1355 | Reward: 358.99
Episode 1356 | Reward: 452.24
Episode 1357 | Reward: 490.19
Episode 1358 | Reward: 459.00
Episode 1359 | Reward: 334.94
Episode 1360 | Reward: 484.03
Episode 1361 | Reward: 464.56
Episode 1362 | Reward: 489.63
Episode 1363 | Reward: 331.60
Episode 1364 | Reward: 470.32
Episode 1365 | Reward: 418.88
Episode 1366 | Reward: 469.27
Episode 1367 | Reward: 345.29
Episode 1368 | Reward: 482.76
Episode 1369 | Reward: 476.43
Episode 1370 | Reward: 453.81
Episode 1371 | Reward: 471.63
Episode 1372 | Reward: 451.58
Episode 1373 | Reward: 453.90
Episode 1374 | Reward: 444.96
Episode 1375 | Reward: 314.28
Episode 1376 | Reward: 471.26
Episode 1377 | Reward: 470.64
Episode 1378 | Reward: 424.27
Episode 1379 | Reward: 417.27
Episode 1380 | Reward: 461.02
Episode 1381 | Reward: 264.70
Episode 1382 | Reward: 445.81
Episode 1383 | Reward: 450.58
Episode 1384 | Reward: 456.56
Episode 1385 | Reward: 452.96
Episode 1386 | Reward: 445.46
Episode 1387 | Reward: 466.59
Episode 1388 | Reward: 457.09
Episode 1389 | Reward: 412.40
Episode 1390 | Reward: 452.96
Episode 1391 | Reward: 456.76
Episode 1392 | Reward: 463.49
Episode 1393 | Reward: 461.69
Episode 1394 | Reward: 442.78
Episode 1395 | Reward: 464.73
Episode 1396 | Reward: 457.04
Episode 1397 | Reward: 450.07
Episode 1398 | Reward: 474.43
Episode 1399 | Reward: 446.32
Episode 1400 | Reward: 437.71
Model saved at episode 1400.
Episode 1401 | Reward: 465.68
Episode 1402 | Reward: 465.86
Episode 1403 | Reward: 465.56
Episode 1404 | Reward: 448.61
Episode 1405 | Reward: 482.19
Episode 1406 | Reward: 489.63
Episode 1407 | Reward: 477.37
Episode 1408 | Reward: 484.83
Episode 1409 | Reward: 488.31
Episode 1410 | Reward: 470.39
Episode 1411 | Reward: 463.77
Episode 1412 | Reward: 477.95
Episode 1413 | Reward: 472.60
Episode 1414 | Reward: 468.67
Episode 1415 | Reward: 475.67
Episode 1416 | Reward: 424.07
Episode 1417 | Reward: 471.80
Episode 1418 | Reward: 465.31
Episode 1419 | Reward: 471.71
Episode 1420 | Reward: 481.85
Episode 1421 | Reward: 473.14
Episode 1422 | Reward: 444.76
Episode 1423 | Reward: 461.11
Episode 1424 | Reward: 475.15
Episode 1425 | Reward: 450.08
Episode 1426 | Reward: 450.16
Episode 1427 | Reward: 449.14
Episode 1428 | Reward: 458.02
Episode 1429 | Reward: 484.92
Episode 1430 | Reward: 475.81
Episode 1431 | Reward: 415.24
Episode 1432 | Reward: 513.19
Episode 1433 | Reward: 489.26
Episode 1434 | Reward: 355.17
Episode 1435 | Reward: 493.58
Episode 1436 | Reward: 490.99
Episode 1437 | Reward: 462.25
Episode 1438 | Reward: 471.66
Episode 1439 | Reward: 469.11
Episode 1440 | Reward: 429.83
Episode 1441 | Reward: 478.43
Episode 1442 | Reward: 471.42
Episode 1443 | Reward: 485.33
Episode 1444 | Reward: 460.62
Episode 1445 | Reward: 463.92
Episode 1446 | Reward: 485.05
Episode 1447 | Reward: 369.81
Episode 1448 | Reward: 462.18
Episode 1449 | Reward: 434.26
Episode 1450 | Reward: 479.61
Model saved at episode 1450.
Episode 1451 | Reward: 350.03
Episode 1452 | Reward: 345.62
Episode 1453 | Reward: 359.47
Episode 1454 | Reward: 445.01
Episode 1455 | Reward: 477.86
Episode 1456 | Reward: 472.15
Episode 1457 | Reward: 373.04
Episode 1458 | Reward: 367.13
Episode 1459 | Reward: 469.93
Episode 1460 | Reward: 500.53
Episode 1461 | Reward: 443.68
Episode 1462 | Reward: 480.79
Episode 1463 | Reward: 497.97
Episode 1464 | Reward: 502.10
Episode 1465 | Reward: 496.45
Episode 1466 | Reward: 367.69
Episode 1467 | Reward: 498.76
Episode 1468 | Reward: 511.67
Episode 1469 | Reward: 518.09
Episode 1470 | Reward: 496.29
Episode 1471 | Reward: 362.03
Episode 1472 | Reward: 472.99
Episode 1473 | Reward: 495.49
Episode 1474 | Reward: 323.50
Episode 1475 | Reward: 518.19
Episode 1476 | Reward: 528.02
Episode 1477 | Reward: 488.22
Episode 1478 | Reward: 391.32
Episode 1479 | Reward: 502.47
Episode 1480 | Reward: 509.74
Episode 1481 | Reward: 508.85
Episode 1482 | Reward: 389.09
Episode 1483 | Reward: 352.50
Episode 1484 | Reward: 503.20
Episode 1485 | Reward: 384.09
Episode 1486 | Reward: 441.91
Episode 1487 | Reward: 506.73
Episode 1488 | Reward: 361.95
Episode 1489 | Reward: 463.52
Episode 1490 | Reward: 481.48
Episode 1491 | Reward: 473.74
Episode 1492 | Reward: 432.89
Episode 1493 | Reward: 335.12
Episode 1494 | Reward: 336.86
Episode 1495 | Reward: 220.50
Episode 1496 | Reward: 321.03
Episode 1497 | Reward: 344.27
Episode 1498 | Reward: 435.71
Episode 1499 | Reward: 446.50
Episode 1500 | Reward: 425.92
Model saved at episode 1500.
Episode 1501 | Reward: 442.79
Episode 1502 | Reward: 475.27
Episode 1503 | Reward: 457.43
Episode 1504 | Reward: 425.75
Episode 1505 | Reward: 474.13
Episode 1506 | Reward: 492.29
Episode 1507 | Reward: 443.39
Episode 1508 | Reward: 466.52
Episode 1509 | Reward: 471.30
Episode 1510 | Reward: 455.91
Episode 1511 | Reward: 406.39
Episode 1512 | Reward: 452.89
Episode 1513 | Reward: 479.63
Episode 1514 | Reward: 480.23
Episode 1515 | Reward: 366.39
Episode 1516 | Reward: 475.63
Episode 1517 | Reward: 457.40
Episode 1518 | Reward: 375.41
Episode 1519 | Reward: 483.37
Episode 1520 | Reward: 371.20
Episode 1521 | Reward: 473.19
Episode 1522 | Reward: 234.55
Episode 1523 | Reward: 333.28
Episode 1524 | Reward: 325.98
Episode 1525 | Reward: 432.21
Episode 1526 | Reward: 325.13
Episode 1527 | Reward: 443.68
Episode 1528 | Reward: 420.93
Episode 1529 | Reward: 450.61
Episode 1530 | Reward: 453.28
Episode 1531 | Reward: 351.82
Episode 1532 | Reward: 320.66
Episode 1533 | Reward: 467.41
Episode 1534 | Reward: 470.87
Episode 1535 | Reward: 454.11
Episode 1536 | Reward: 454.19
Episode 1537 | Reward: 451.16
Episode 1538 | Reward: 463.18
Episode 1539 | Reward: 494.22
Episode 1540 | Reward: 455.70
Episode 1541 | Reward: 486.44
Episode 1542 | Reward: 454.06
Episode 1543 | Reward: 460.84
Episode 1544 | Reward: 308.38
Episode 1545 | Reward: 343.37
Episode 1546 | Reward: 462.50
Episode 1547 | Reward: 457.63
Episode 1548 | Reward: 458.92
Episode 1549 | Reward: 459.65
Episode 1550 | Reward: 478.46
Model saved at episode 1550.
Episode 1551 | Reward: 493.47
Episode 1552 | Reward: 481.43
Episode 1553 | Reward: 480.29
Episode 1554 | Reward: 501.36
Episode 1555 | Reward: 491.34
Episode 1556 | Reward: 374.16
Episode 1557 | Reward: 472.97
Episode 1558 | Reward: 526.18
Episode 1559 | Reward: 348.13
Episode 1560 | Reward: 475.78
Episode 1561 | Reward: 511.93
Episode 1562 | Reward: 500.38
Episode 1563 | Reward: 328.41
Episode 1564 | Reward: 460.66
Episode 1565 | Reward: 514.49
Episode 1566 | Reward: 515.48
Episode 1567 | Reward: 483.72
Episode 1568 | Reward: 508.23
Episode 1569 | Reward: 353.44
Episode 1570 | Reward: 467.45
Episode 1571 | Reward: 491.17
Episode 1572 | Reward: 516.72
Episode 1573 | Reward: 519.26
Episode 1574 | Reward: 524.24
Episode 1575 | Reward: 513.60
Episode 1576 | Reward: 532.19
Episode 1577 | Reward: 468.03
Episode 1578 | Reward: 526.78
Episode 1579 | Reward: 530.99
Episode 1580 | Reward: 282.32
Episode 1581 | Reward: 401.16
Episode 1582 | Reward: 530.31
Episode 1583 | Reward: 548.95
Episode 1584 | Reward: -4.25
Episode 1585 | Reward: 374.45
Episode 1586 | Reward: 276.01
Episode 1587 | Reward: 263.60
Episode 1588 | Reward: 385.77
Episode 1589 | Reward: 501.86
Episode 1590 | Reward: 231.91
Episode 1591 | Reward: 357.09
Episode 1592 | Reward: 518.21
Episode 1593 | Reward: 82.39
Episode 1594 | Reward: 522.49
Episode 1595 | Reward: 387.03
Episode 1596 | Reward: 519.48
Episode 1597 | Reward: 513.42
Episode 1598 | Reward: 517.06
Episode 1599 | Reward: 507.41
Episode 1600 | Reward: 503.49
Model saved at episode 1600.
Episode 1601 | Reward: 360.04
Episode 1602 | Reward: 513.47
Episode 1603 | Reward: 530.51
Episode 1604 | Reward: 491.67
Episode 1605 | Reward: 363.47
Episode 1606 | Reward: 514.90
Episode 1607 | Reward: 498.95
Episode 1608 | Reward: 515.34
Episode 1609 | Reward: 510.36
Episode 1610 | Reward: 497.54
Episode 1611 | Reward: 502.90
Episode 1612 | Reward: 367.11
Episode 1613 | Reward: 244.62
Episode 1614 | Reward: 494.16
Episode 1615 | Reward: 492.81
Episode 1616 | Reward: 521.91
Episode 1617 | Reward: 375.30
Episode 1618 | Reward: 512.97
Episode 1619 | Reward: 520.02
Episode 1620 | Reward: 370.63
Episode 1621 | Reward: 230.85
Episode 1622 | Reward: 494.19
Episode 1623 | Reward: 487.22
Episode 1624 | Reward: 504.97
Episode 1625 | Reward: 216.78
Episode 1626 | Reward: 346.76
Episode 1627 | Reward: 499.11
Episode 1628 | Reward: 487.51
Episode 1629 | Reward: 485.16
Episode 1630 | Reward: 489.96
Episode 1631 | Reward: 466.74
Episode 1632 | Reward: 488.63
Episode 1633 | Reward: 485.22
Episode 1634 | Reward: 503.24
Episode 1635 | Reward: 489.96
Episode 1636 | Reward: 516.14
Episode 1637 | Reward: 377.19
Episode 1638 | Reward: 512.44
Episode 1639 | Reward: 482.91
Episode 1640 | Reward: 516.71
Episode 1641 | Reward: 399.55
Episode 1642 | Reward: 517.63
Episode 1643 | Reward: 324.23
Episode 1644 | Reward: 503.86
Episode 1645 | Reward: 506.08
Episode 1646 | Reward: 516.27
Episode 1647 | Reward: 521.78
Episode 1648 | Reward: 368.34
Episode 1649 | Reward: 484.23
Episode 1650 | Reward: 388.50
Model saved at episode 1650.
Episode 1651 | Reward: 491.28
Episode 1652 | Reward: 486.73
Episode 1653 | Reward: 500.57
Episode 1654 | Reward: 502.08
